source,target,position_x,position_y,capacity,travel_speed,segment_length
117051,120929,24.65192165,60.22094634,9000000.0,100.0,15.738
117051,120924,24.65192165,60.22094634,9000000.0,100.0,14.758
117051,120960,24.65192165,60.22094634,9000000.0,100.0,141.356
120924,117051,24.85762763,60.2954053,9000000.0,100.0,14.758
120924,120929,24.85762763,60.2954053,9000000.0,100.0,10.434000000000001
120924,120971,24.85762763,60.2954053,9000000.0,100.0,112.308
120924,120926,24.85762763,60.2954053,9000000.0,100.0,7.157
120929,117051,24.89920214,60.20742017,9000000.0,100.0,15.738
120929,120924,24.89920214,60.20742017,9000000.0,100.0,10.434000000000001
120929,120916,24.89920214,60.20742017,9000000.0,100.0,14.075000000000001
120926,120924,24.98287382,60.28885695,9000000.0,100.0,7.157
120926,250520,24.98287382,60.28885695,9000000.0,100.0,9.222000000000001
120926,250517,24.98287382,60.28885695,9000000.0,100.0,8.265
120926,120921,24.98287382,60.28885695,9000000.0,100.0,6.027
250626,120865,21.68582062,63.07363045,9000000.0,100.0,6.72
250626,250624,21.68582062,63.07363045,9000000.0,100.0,4.436
250626,120880,21.68582062,63.07363045,9000000.0,100.0,299.315
120865,250626,21.757451,63.030017,9000000.0,100.0,6.72
120865,168030,21.757451,63.030017,9000000.0,100.0,262.485
120865,120983,21.757451,63.030017,9000000.0,100.0,216.289
250624,250626,21.61785757,63.09462561,9000000.0,100.0,4.436
250517,120926,25.00038181,60.36160134,9000000.0,100.0,8.265
250516,117060,26.13460934,61.31523791,9000000.0,100.0,4.2780000000000005
117060,250516,26.07771959,61.29115331,9000000.0,100.0,4.2780000000000005
117060,120844,26.07771959,61.29115331,9000000.0,100.0,113.387
117060,120921,26.07771959,61.29115331,9000000.0,100.0,131.007
201941,201086,20.75447099,69.10576596,9000000.0,100.0,461.06600000000003
201086,201941,24.16235588,65.84446154,9000000.0,100.0,461.06600000000003
201086,120880,24.16235588,65.84446154,9000000.0,100.0,153.23
201086,201075,24.16235588,65.84446154,9000000.0,100.0,15.691
120880,250626,25.48694014,64.81667965,9000000.0,100.0,299.315
120880,201086,25.48694014,64.81667965,9000000.0,100.0,153.23
120880,120843,25.48694014,64.81667965,9000000.0,100.0,313.802
120880,201075,25.48694014,64.81667965,9000000.0,100.0,135.34699999999998
201075,201086,24.49123605,65.81745095,9000000.0,100.0,15.691
201075,120880,24.49123605,65.81745095,9000000.0,100.0,135.34699999999998
201075,120893,24.49123605,65.81745095,9000000.0,100.0,233.50400000000002
180006,120981,23.83971757,61.20110224,9000000.0,100.0,34.555
180006,120971,23.83971757,61.20110224,9000000.0,100.0,14.017
180006,120977,23.83971757,61.20110224,9000000.0,100.0,19.273
180006,120952,23.83971757,61.20110224,9000000.0,100.0,123.602
120981,180006,23.77161122,61.46050841,9000000.0,100.0,34.555
120981,120978,23.77161122,61.46050841,9000000.0,100.0,12.775
120981,120984,23.77161122,61.46050841,9000000.0,100.0,10.151
120981,120977,23.77161122,61.46050841,9000000.0,100.0,10.885
120981,120843,23.77161122,61.46050841,9000000.0,100.0,150.80400000000003
120971,120924,24.06485056,61.13974812,9000000.0,100.0,112.308
120971,180006,24.06485056,61.13974812,9000000.0,100.0,14.017
120971,120977,24.06485056,61.13974812,9000000.0,100.0,30.88
120977,180006,23.79361551,61.36706965,9000000.0,100.0,19.273
120977,120981,23.79361551,61.36706965,9000000.0,100.0,10.885
120977,120971,23.79361551,61.36706965,9000000.0,100.0,30.88
168030,120865,21.700896,60.87363199999999,9000000.0,100.0,262.485
168030,168031,21.700896,60.87363199999999,9000000.0,100.0,40.793
168030,120961,21.700896,60.87363199999999,9000000.0,100.0,54.858
168031,168030,22.13283175,61.13129974,9000000.0,100.0,40.793
120992,120917,27.87578192,60.60507228,9000000.0,100.0,169.08599999999998
120984,120981,23.697755,61.50827099999999,9000000.0,100.0,10.151
120984,120983,23.697755,61.50827099999999,9000000.0,100.0,8.507
120984,120978,23.697755,61.50827099999999,9000000.0,100.0,6.598
120983,120865,23.57571725,61.55465862,9000000.0,100.0,216.289
120983,120984,23.57571725,61.55465862,9000000.0,100.0,8.507
120983,120978,23.57571725,61.55465862,9000000.0,100.0,8.352000000000002
120978,120981,23.58530804,61.48631247,9000000.0,100.0,12.775
120978,120984,23.58530804,61.48631247,9000000.0,100.0,6.598
120978,120983,23.58530804,61.48631247,9000000.0,100.0,8.352000000000002
120978,120965,23.58530804,61.48631247,9000000.0,100.0,2.614
120965,120978,23.541728,61.475437,9000000.0,100.0,2.614
120960,117051,22.31675919,60.43949899,9000000.0,100.0,141.356
120952,180006,22.26697324,60.47520722,9000000.0,100.0,123.602
120961,168030,22.2096115,60.464139,9000000.0,100.0,54.858
120917,120992,25.12463132,60.25666122,9000000.0,100.0,169.08599999999998
120917,120921,25.12463132,60.25666122,9000000.0,100.0,2.952
120917,120916,25.12463132,60.25666122,9000000.0,100.0,3.26
120921,120926,25.0892147,60.27656186,9000000.0,100.0,6.027
120921,117060,25.0892147,60.27656186,9000000.0,100.0,131.007
120921,120917,25.0892147,60.27656186,9000000.0,100.0,2.952
120921,120916,25.0892147,60.27656186,9000000.0,100.0,2.992
120916,120929,25.06732062,60.25231863,9000000.0,100.0,14.075000000000001
120916,120917,25.06732062,60.25231863,9000000.0,100.0,3.26
120916,120921,25.06732062,60.25231863,9000000.0,100.0,2.992
250520,120926,24.9443365,60.21160684,9000000.0,100.0,9.222000000000001
120908,120893,27.22434799,69.13354353,9000000.0,100.0,225.297
120893,201075,26.56893795,67.41768642,9000000.0,100.0,233.50400000000002
120893,120908,26.56893795,67.41768642,9000000.0,100.0,225.297
120893,120844,26.56893795,67.41768642,9000000.0,100.0,798.064
120844,117060,25.90186549,62.23053511,9000000.0,100.0,113.387
120844,120893,25.90186549,62.23053511,9000000.0,100.0,798.064
120844,120843,25.90186549,62.23053511,9000000.0,100.0,8.168
120843,120880,25.77253694,62.25024449,9000000.0,100.0,313.802
120843,120981,25.77253694,62.25024449,9000000.0,100.0,150.80400000000003
120843,120844,25.77253694,62.25024449,9000000.0,100.0,8.168
