source,target,position_x,position_y,capacity,travel_time
100746,120711,9.967175,57.591469,9000000.0,0.1
100746,120711,9.966883666666666,57.50665033333333,9000000.0,0.1
100746,120711,9.966592333333333,57.42183166666666,9000000.0,0.1
100746,120711,9.966301,57.337013,9000000.0,0.1
100746,120711,9.966009666666666,57.252194333333335,9000000.0,0.1
100746,120711,9.965718333333333,57.167375666666665,9000000.0,0.1
100746,120711,9.965427,57.082557,9000000.0,0.1
120553,116274,10.456117,55.349479,9000000.0,0.1
120553,116274,10.497344,55.257060333333335,9000000.0,0.1
120553,116274,10.538571000000001,55.16464166666667,9000000.0,0.1
120553,116274,10.579798,55.072223,9000000.0,0.1
120553,116406,10.456117,55.349479,9000000.0,0.1
120553,116406,10.298184000000001,55.387576800000005,9000000.0,0.1
120553,116406,10.140251000000001,55.4256746,9000000.0,0.1
120553,116406,9.982318,55.4637724,9000000.0,0.1
120553,116406,9.824385,55.5018702,9000000.0,0.1
120553,116406,9.666452,55.539968,9000000.0,0.1
120553,120537,10.456117,55.349479,9000000.0,0.1
120553,120537,10.608954181818183,55.36108327272728,9000000.0,0.1
120553,120537,10.761791363636364,55.372687545454546,9000000.0,0.1
120553,120537,10.914628545454546,55.38429181818182,9000000.0,0.1
120553,120537,11.067465727272728,55.39589609090909,9000000.0,0.1
120553,120537,11.22030290909091,55.407500363636366,9000000.0,0.1
120553,120537,11.373140090909091,55.419104636363635,9000000.0,0.1
120553,120537,11.525977272727273,55.43070890909091,9000000.0,0.1
120553,120537,11.678814454545455,55.44231318181818,9000000.0,0.1
120553,120537,11.831651636363636,55.453917454545454,9000000.0,0.1
120553,120537,11.984488818181818,55.46552172727272,9000000.0,0.1
120553,120537,12.137326,55.477126,9000000.0,0.1
262341,120506,12.5216202,55.75465969,9000000.0,0.1
120507,120508,12.365384,55.69998399999999,9000000.0,0.1
100699,116203,11.923248,54.57230799999999,9000000.0,0.1
100699,116203,11.899458333333332,54.66841599999999,9000000.0,0.1
100699,116203,11.875668666666666,54.764524,9000000.0,0.1
100699,116203,11.851878999999998,54.860632,9000000.0,0.1
116173,120508,11.63288313,55.71511114,9000000.0,0.1
116173,120508,11.8036388475,55.701226855,9000000.0,0.1
116173,120508,11.974394565,55.68734257,9000000.0,0.1
116173,120508,12.1451502825,55.673458284999995,9000000.0,0.1
116173,120508,12.315906,55.659574,9000000.0,0.1
250480,120654,10.12071806,56.22608292,9000000.0,0.1
250480,120654,10.331608,56.285198,9000000.0,0.1
250480,120711,10.12071806,56.22608292,9000000.0,0.1
250480,120711,10.10660069090909,56.303944200000004,9000000.0,0.1
250480,120711,10.092483321818182,56.381805480000004,9000000.0,0.1
250480,120711,10.078365952727273,56.459666760000005,9000000.0,0.1
250480,120711,10.064248583636363,56.537528040000005,9000000.0,0.1
250480,120711,10.050131214545454,56.615389320000006,9000000.0,0.1
250480,120711,10.036013845454546,56.6932506,9000000.0,0.1
250480,120711,10.021896476363636,56.77111188,9000000.0,0.1
250480,120711,10.007779107272727,56.84897316,9000000.0,0.1
250480,120711,9.993661738181817,56.92683444,9000000.0,0.1
250480,120711,9.97954436909091,57.00469572,9000000.0,0.1
250480,120711,9.965427,57.082557,9000000.0,0.1
250480,116419,10.12071806,56.22608292,9000000.0,0.1
